Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,User_Score,Rating
NARC,XB,2005,Shooter,Midway Games,0.14,0.04,0.0,51.0,2.8,M
Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,80.0,7.0,T
Super Robot Taisen J,GBA,2005,Strategy,Banpresto,0.0,0.0,0.18,72.0,7.5,
Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0.0,58.0,8.3,E
Nep League DS,DS,2007,Sports,Jaleco,0.0,0.0,0.18,72.0,7.5,
Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,72.0,7.5,
Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.06,0.0,72.0,7.5,
Casper: Friends Around the World,PS,2000,Action,TDK Core,0.1,0.07,0.0,72.0,7.5,
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.18,72.0,7.5,
Star Trek: Legacy,X360,2007,Simulation,Ubisoft,0.14,0.02,0.0,64.0,5.5,E10+
Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,72.0,7.5,
GameBoy Wars,GB,1991,Strategy,Nintendo,0.0,0.0,0.18,72.0,7.5,
Amplitude,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,86.0,8.8,T
Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.01,0.05,82.0,7.5,T
Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games,0.14,0.04,0.0,61.0,7.8,T
AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,61.0,7.1,E
Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment,0.12,0.04,0.0,72.0,7.2,M
Monopoly Party,XB,2002,Misc,Infogrames,0.14,0.04,0.0,72.0,7.5,
Fear Effect 2: Retro Helix,PS,2001,Action,Eidos Interactive,0.1,0.07,0.0,84.0,8.9,M
Ninja Gaiden 3,WiiU,2012,Action,Nintendo,0.14,0.03,0.0,72.0,7.5,
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,76.0,7.7,E10+
Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.14,0.0,83.0,7.5,M
CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0.0,39.0,5.6,M
Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,72.0,7.5,
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.18,72.0,7.5,
Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,Take-Two Interactive,0.17,0.0,0.0,72.0,7.5,
Klonoa: Door to Phantomile,PS,1997,Platform,Sony Computer Entertainment,0.0,0.0,0.17,72.0,7.5,
Vietcong: Purple Haze,PS2,2004,Shooter,Gathering of Developers,0.09,0.07,0.0,48.0,4.3,M
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega,0.0,0.0,0.18,72.0,7.5,
X-Men Origins: Wolverine,PS2,2009,Action,Activision,0.13,0.0,0.0,72.0,6.8,T
Syndicate,X360,2012,Shooter,Electronic Arts,0.1,0.06,0.0,74.0,7.1,M
Zumba Fitness Rush,X360,2012,Sports,505 Games,0.0,0.16,0.0,73.0,6.2,E10+
Call of Juarez,X360,2007,Shooter,Ubisoft,0.14,0.02,0.0,71.0,6.9,M
TalkMan (Japan),PSP,2005,Misc,Sony Computer Entertainment,0.0,0.0,0.18,72.0,7.5,
Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0.0,54.0,4.7,E10+
Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.14,0.04,0.0,75.0,8.5,T
Mega Man Soccer,SNES,1993,Sports,Capcom,0.04,0.01,0.13,72.0,7.5,
MotoGP,Wii,2009,Racing,Capcom,0.05,0.11,0.0,44.0,5.4,E
Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.16,0.01,0.0,72.0,8.7,E10+
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0.0,0.12,0.04,59.0,7.8,T
LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.07,0.0,64.0,6.8,E10+
FIFA Soccer 07,GC,2006,Sports,Electronic Arts,0.14,0.04,0.0,72.0,7.5,
Rabbids Party Collection,Wii,2010,Misc,Ubisoft,0.0,0.16,0.0,72.0,7.5,
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.08,0.01,0.06,60.0,7.4,M
The Last Airbender,DS,2010,Action,THQ,0.13,0.04,0.0,69.0,7.0,E10+
My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,Black Bean Games,0.13,0.03,0.0,72.0,7.5,
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0.0,72.0,7.5,
Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,Capcom,0.0,0.0,0.18,72.0,7.5,
Backbreaker,X360,2007,Sports,Unknown,0.17,0.0,0.0,54.0,7.6,E
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,73.0,6.4,E
Shrek SuperSlam,DS,2005,Action,Activision,0.17,0.0,0.0,72.0,7.5,
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0.0,39.0,4.4,M
Super Robot Taisen UX,3DS,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,72.0,7.5,
Six Flags Fun Park,DS,2008,Misc,Brash Entertainment,0.17,0.0,0.0,34.0,7.0,E
Test Drive Off-Road Wide Open,XB,2001,Racing,Infogrames,0.15,0.03,0.0,64.0,8.3,E
Jeopardy!,DS,2010,Misc,THQ,0.17,0.0,0.0,72.0,7.5,
Pro Yaky? Spirits 2011,PS3,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.18,72.0,7.5,
Doctor Who: Return to Earth,Wii,2010,Adventure,Asylum Entertainment,0.0,0.16,0.0,72.0,7.5,
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0.0,0.0,0.18,72.0,7.5,
WWE All Stars,PSP,2011,Fighting,THQ,0.12,0.04,0.0,70.0,6.6,T
Jampack Vol. 1,PS,1996,Misc,Sony Computer Entertainment,0.1,0.07,0.0,72.0,7.5,
Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive,0.14,0.04,0.0,35.0,5.9,M
Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,48.0,6.8,M
Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom,0.09,0.07,0.0,69.0,7.1,E
Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,Genki,0.09,0.07,0.0,59.0,8.6,E
Moon,PS,1997,Adventure,ASCII Entertainment,0.0,0.0,0.17,72.0,7.5,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Action,Disney Interactive Studios,0.15,0.01,0.0,65.0,7.5,E10+
Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,Activision,0.13,0.04,0.0,65.0,8.3,T
Re-Volt,N64,1999,Racing,Acclaim Entertainment,0.14,0.04,0.0,72.0,7.5,
Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,NewKidCo,0.14,0.04,0.0,72.0,7.5,
Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,71.0,7.4,M
Might & Magic: Clash of Heroes,DS,2009,Role-Playing,Ubisoft,0.15,0.02,0.0,72.0,7.5,
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,75.0,6.8,E
Gokujou Parodius,SNES,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.18,72.0,7.5,
Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games,0.08,0.01,0.07,84.0,7.8,E10+
Gauntlet: Dark Legacy,GC,2002,Action,Midway Games,0.14,0.04,0.0,60.0,9.1,T
A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0.0,0.0,0.18,72.0,7.5,
The Chronicles of Narnia: Prince Caspian,X360,2008,Action,Disney Interactive Studios,0.16,0.01,0.0,56.0,7.5,T
Company of Heroes: Anthology,PC,2009,Strategy,THQ,0.0,0.15,0.0,72.0,7.5,
Shadow The Hedgehog,XB,2005,Platform,Sega,0.13,0.04,0.0,49.0,5.5,E10+
Daigasso! Band Brothers P,3DS,2013,Misc,Nintendo,0.0,0.0,0.18,72.0,7.5,
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000,Sports,Sega,0.0,0.0,0.18,72.0,7.5,
The Adventures of Cookie & Cream,PS2,2000,Puzzle,Empire Interactive,0.09,0.07,0.0,72.0,7.5,
World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0.0,0.0,57.0,8.1,E
Van Helsing,XB,2007,Action,Activision,0.13,0.04,0.0,63.0,7.6,T
Grand Slam Tennis 2,X360,2012,Sports,Electronic Arts,0.1,0.06,0.0,71.0,5.1,E
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher,0.1,0.06,0.0,51.0,5.3,E10+
Pure Futbol,X360,2010,Sports,Ubisoft,0.08,0.08,0.0,38.0,7.9,E
Spider-Man: Friend or Foe,PSP,2007,Action,Activision,0.16,0.0,0.0,58.0,4.4,E10+
Gun,GC,2005,Shooter,Activision,0.14,0.04,0.0,77.0,8.6,M
SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0.0,52.0,5.7,T
F1 Challenge,SAT,1994,Racing,Sega,0.0,0.0,0.18,72.0,7.5,
Metal Gear Ac!d 2,PSP,2005,Strategy,Konami Digital Entertainment,0.11,0.0,0.05,72.0,7.5,
Shadow Madness,PS,1999,Action,Crave Entertainment,0.1,0.07,0.0,72.0,7.5,
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,45.0,3.5,M
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0.0,75.0,7.5,E
The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0.0,72.0,7.5,
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0.0,0.14,0.0,83.0,7.7,E
American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0.0,72.0,8.1,T
Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0.0,81.0,7.8,M
de Blob 2,Wii,2011,Platform,THQ,0.11,0.06,0.0,79.0,8.1,E10+
Silent Hill 4: The Room,XB,2004,Action,Konami Digital Entertainment,0.14,0.04,0.0,76.0,8.3,M
Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.09,0.07,0.0,67.0,6.8,T
Remember Me,X360,2013,Action,Capcom,0.1,0.06,0.0,70.0,7.5,M
Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0.0,70.0,6.0,T
FIFA Soccer 2002,GC,2001,Sports,Electronic Arts,0.14,0.04,0.0,81.0,8.0,E
Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,72.0,7.5,
Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,0.1,0.07,0.0,72.0,7.5,E
Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0.0,0.0,0.18,72.0,7.5,
Fireblade,PS2,2002,Action,Midway Games,0.09,0.07,0.0,72.0,7.5,
Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft,0.14,0.04,0.0,61.0,7.4,E
Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,0.1,0.07,0.0,72.0,7.5,
Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software,0.07,0.05,0.03,62.0,7.2,T
Payday 2,XOne,2015,Shooter,505 Games,0.09,0.07,0.0,72.0,7.5,
Cabela's Dangerous Hunts 2009,PS2,2008,Sports,Activision Value,0.09,0.07,0.0,72.0,9.2,T
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,67.0,8.0,M
Ball Breakers,PS,2000,Action,Take-Two Interactive,0.1,0.07,0.0,68.0,5.3,E
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,Namco Bandai Games,0.0,0.0,0.18,72.0,7.5,
Splatterhouse,X360,2010,Action,Namco Bandai Games,0.14,0.03,0.0,62.0,7.6,M
EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,73.0,8.0,E
You Don't Know Jack,PS3,2011,Misc,THQ,0.16,0.0,0.0,82.0,7.3,T
Twisted Metal: Small Brawl,PS,2007,Action,Unknown,0.1,0.07,0.0,51.0,7.6,T
Otomedius Excellent,X360,2007,Shooter,Unknown,0.13,0.0,0.04,48.0,8.1,T
Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,0.14,0.04,0.0,39.0,3.2,E
Armored Core: Last Raven,PS2,2005,Simulation,505 Games,0.05,0.04,0.08,59.0,8.9,T
Burnout Legends,DS,2005,Racing,Electronic Arts,0.15,0.02,0.0,38.0,6.0,E
Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,0.09,0.04,0.0,72.0,5.8,T
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,81.0,7.1,E
All Grown Up! Express Yourself,GBA,2004,Misc,THQ,0.13,0.05,0.0,72.0,7.5,
K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,67.0,9.0,T
Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0.0,0.0,0.18,72.0,7.5,
Super Robot Taisen A Portable,PSP,2008,Strategy,Namco Bandai Games,0.0,0.0,0.18,72.0,7.5,
Juiced,XB,2005,Racing,THQ,0.13,0.04,0.0,68.0,9.1,T
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,505 Games,0.11,0.01,0.05,38.0,3.0,E10+
DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0.12,0.0,75.0,6.3,E10+
Cabela's Big Game Hunter: Hunting Party,X360,2011,Sports,Activision,0.16,0.0,0.0,72.0,5.0,
Tales of the Tempest,DS,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,72.0,7.5,
SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts,0.0,0.0,0.18,72.0,7.5,
Biohazard: Revival Selection,PS3,2011,Action,Capcom,0.0,0.0,0.18,72.0,7.5,
Sonic Riders: Zero Gravity,PS2,2008,Racing,Sega,0.09,0.07,0.0,56.0,8.3,E
UFC: Sudden Impact,PS2,2004,Fighting,Global Star,0.09,0.07,0.0,54.0,7.7,T
Nancy Drew: The Hidden Staircase,DS,2008,Adventure,THQ,0.16,0.0,0.0,72.0,6.0,E
Full Auto 2: Battlelines,PS3,2006,Racing,Sega,0.14,0.02,0.0,67.0,7.6,T
College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,81.0,6.9,E
LEGO Island 2: The Brickster's Revenge,PS,2001,Adventure,LEGO Media,0.1,0.07,0.0,72.0,7.5,
How to Train Your Dragon,PS3,2010,Action,Activision,0.12,0.03,0.0,51.0,7.0,E10+
Madden NFL 09,XB,2008,Sports,Electronic Arts,0.13,0.04,0.0,72.0,5.5,E
Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,0.11,0.03,0.02,65.0,7.8,T
Scooby-Doo! Unmasked,GBA,2005,Platform,THQ,0.13,0.05,0.0,72.0,7.5,
Summon Night 4,PS2,2006,Role-Playing,Banpresto,0.0,0.0,0.18,72.0,7.5,
NHL 2004,XB,2003,Sports,Electronic Arts,0.13,0.04,0.0,85.0,6.5,E
Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.18,72.0,7.5,
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0.0,72.0,7.1,T
Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft,0.16,0.0,0.0,72.0,5.2,E
Velvet Assassin,X360,2009,Shooter,DTP Entertainment,0.14,0.02,0.01,56.0,7.1,M
MindJack,PS3,2011,Shooter,Square Enix,0.07,0.07,0.0,44.0,1.7,M
NBA Starting Five,PS2,2007,Sports,Unknown,0.09,0.07,0.0,53.0,7.3,E
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0.0,59.0,6.1,E
WWE SmackDown vs. Raw 2009,DS,2008,Fighting,THQ,0.14,0.02,0.0,58.0,7.8,T
Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,38.0,5.6,M
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,91.0,7.1,T
The Suffering: Ties That Bind,PS2,2005,Action,Midway Games,0.09,0.07,0.0,75.0,8.0,M
EyeToy: Kinetic,PS2,2005,Sports,Sony Computer Entertainment,0.09,0.07,0.0,78.0,8.3,E
Transformers: Prime,3DS,2012,Action,Activision,0.13,0.02,0.0,72.0,7.5,
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0.0,73.0,7.0,E10+
Army Men: Sarge's Heroes 2,PS2,2001,Shooter,Midas Interactive Entertainment,0.09,0.07,0.0,54.0,4.6,T
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0.0,0.0,0.17,72.0,7.5,
The Wild Thornberrys: Animal Adventures,PS,2000,Adventure,Mattel Interactive,0.1,0.07,0.0,72.0,7.5,
Rugrats: Royal Ransom,GC,2002,Platform,THQ,0.13,0.03,0.0,72.0,6.7,E
Winning Eleven: Pro Evolution Soccer 2007,DS,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.17,63.0,7.9,E
Warriors of Might and Magic,PS2,2001,Adventure,3DO,0.09,0.07,0.0,49.0,4.5,T
Rapala Fishing Frenzy 2009,PS3,2008,Sports,Activision,0.16,0.0,0.0,31.0,4.4,E
Ridge Racer,PSV,2011,Racing,Namco Bandai Games,0.03,0.07,0.05,44.0,3.7,E10+
EyePet & Friends,PS3,2011,Simulation,Sony Computer Entertainment,0.06,0.08,0.0,72.0,7.5,
Street Fighter: The Movie,PS,1995,Fighting,Acclaim Entertainment,0.1,0.07,0.0,72.0,7.5,
Major League Baseball 2K9,PS3,2009,Sports,Spike,0.16,0.0,0.0,61.0,4.0,E
Global Defence Force,PS2,2005,Shooter,Essential Games,0.0,0.0,0.17,72.0,7.5,
SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009,Role-Playing,Square Enix,0.0,0.0,0.17,72.0,7.5,
Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,0.08,0.07,0.0,73.0,7.4,E
Super Robot Taisen L,DS,2010,Strategy,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Race Pro,X360,2009,Racing,Atari,0.06,0.09,0.0,72.0,7.0,E
The Grim Adventures of Billy & Mandy,GC,2006,Action,Midway Games,0.13,0.03,0.0,72.0,7.5,
NBA Inside Drive 2004,XB,2003,Sports,Microsoft Game Studios,0.13,0.04,0.0,71.0,8.2,E
The King of Fighters '97,PS,1998,Fighting,SNK,0.0,0.0,0.16,72.0,7.5,
Time Commando,PS,1996,Action,Adeline Software,0.1,0.07,0.0,72.0,7.5,
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0.0,66.0,9.1,E
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,0.08,0.08,0.0,72.0,4.7,T
The Hobbit,GC,2003,Platform,Vivendi Games,0.13,0.03,0.0,61.0,7.3,E
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0.0,0.12,0.03,66.0,7.5,
Backyard Sports Football: Rookie Rush,DS,2010,Sports,Atari,0.16,0.0,0.0,72.0,7.5,
Skate it,DS,2008,Sports,Electronic Arts,0.14,0.02,0.0,72.0,7.8,E
True Crime: New York City,GC,2005,Action,Activision,0.13,0.03,0.0,59.0,8.8,M
Metal Arms: Glitch in the System,XB,2003,Shooter,Vivendi Games,0.13,0.04,0.0,82.0,8.7,T
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,74.0,7.6,T
Trauma Team,Wii,2007,Simulation,Unknown,0.14,0.0,0.02,82.0,8.8,T
The Secret World,PC,2012,Role-Playing,Funcom,0.07,0.08,0.0,74.0,8.2,M
MDK2 Armageddon,PS2,2001,Shooter,Virgin Interactive,0.08,0.07,0.0,80.0,8.3,T
Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios,0.13,0.04,0.0,72.0,7.5,
NHL 2K9,X360,2008,Sports,Take-Two Interactive,0.15,0.01,0.0,69.0,6.7,E10+
Fight Night Round 2,GC,2005,Fighting,Electronic Arts,0.13,0.03,0.0,87.0,7.9,T
Backbreaker,PS3,2007,Sports,Unknown,0.16,0.0,0.0,58.0,7.0,E
Disney's Atlantis: The Lost Empire,PS,2001,Platform,Sony Computer Entertainment,0.1,0.07,0.0,73.0,8.5,E
Power Pro Kun Pocket,GB,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.17,72.0,7.5,
The King of Fighters '97,SAT,1998,Fighting,SNK,0.0,0.0,0.17,72.0,7.5,
Tamagotchi no Narikiri Challenge,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.14,0.02,0.0,72.0,0.7,E
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0.0,0.0,0.16,72.0,7.5,
Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999,Adventure,ChunSoft,0.0,0.0,0.16,72.0,7.5,
Stormrise,PS3,2009,Strategy,Sega,0.13,0.02,0.0,51.0,5.3,M
Psi-Ops: The Mindgate Conspiracy,XB,2004,Shooter,Midway Games,0.13,0.04,0.0,84.0,7.9,M
X-Men: The Official Game,X360,2006,Action,Activision,0.16,0.0,0.0,52.0,6.1,T
SWAT: Global Strike Team,XB,2003,Shooter,Vivendi Games,0.13,0.04,0.0,69.0,6.3,M
Horrid Henry: Missions of Mischief,DS,2010,Adventure,SouthPeak Games,0.01,0.14,0.0,72.0,7.5,E
Hitman: HD Trilogy,X360,2013,Action,Square Enix,0.07,0.08,0.0,69.0,7.2,M
Goblin Commander: Unleash the Horde,PS2,2003,Strategy,Jaleco,0.08,0.07,0.0,68.0,8.7,T
Hello Kitty: Happy Party Pals,GBA,2005,Misc,THQ,0.12,0.05,0.0,72.0,7.5,
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.17,72.0,7.5,
Backyard NFL Football '09,PS2,2008,Sports,Atari,0.08,0.07,0.0,72.0,7.5,
World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,0.08,0.07,0.0,65.0,5.9,T
Tom Clancy's Ghost Recon: Future Soldier,PC,2012,Shooter,Ubisoft,0.05,0.1,0.0,71.0,4.9,M
Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,0.0,0.0,0.16,72.0,7.5,
Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,Adventure,Ubisoft,0.07,0.08,0.0,72.0,7.5,
PlayStation Move Heroes,PS3,2011,Platform,Sony Computer Entertainment,0.08,0.06,0.0,53.0,6.1,E10+
The King of Fighters '95,PS,1996,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,72.0,7.5,
RoadKill,PS2,2003,Action,Midway Games,0.08,0.07,0.0,71.0,7.9,M
Hanjuku Eiyuu Tai 3D,PS2,2003,Role-Playing,Square Enix,0.0,0.0,0.17,72.0,7.5,
.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,Strategy,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0.0,64.0,5.0,E
The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,Disney Interactive Studios,0.14,0.01,0.0,56.0,5.6,T
Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013,Misc,Konami Digital Entertainment,0.0,0.08,0.08,72.0,7.5,
SingStar Motown,PS3,2009,Misc,Sony Computer Entertainment,0.0,0.15,0.0,72.0,7.5,
Macross Ultimate Frontier,PSP,2009,Action,Namco Bandai Games,0.0,0.0,0.17,72.0,7.5,
Top Spin 2,X360,2006,Sports,Take-Two Interactive,0.15,0.0,0.0,75.0,6.8,E
Hunter: The Reckoning Redeemer,XB,2003,Action,Interplay,0.13,0.04,0.0,72.0,8.6,M
Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0.0,72.0,8.5,T
Captain America: Super Soldier,X360,2011,Action,Sega,0.11,0.05,0.0,60.0,6.4,T
Tokyo Xtreme Racer,DC,1999,Racing,Genki,0.0,0.0,0.17,72.0,7.5,
Fighter Maker,PS,1998,Fighting,Agetec,0.05,0.04,0.07,72.0,7.5,
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.08,0.05,0.0,81.0,8.7,M
Thief: Deadly Shadows,XB,2004,Action,Eidos Interactive,0.13,0.04,0.0,82.0,7.3,M
Monkey Island: Special Edition Collection,PC,2011,Adventure,LucasArts,0.0,0.14,0.0,72.0,7.5,
MotoGP 10/11,PS3,2011,Racing,Capcom,0.04,0.1,0.0,68.0,6.1,E
NBA 09: The Inside,PSP,2008,Sports,Sony Computer Entertainment,0.16,0.0,0.0,79.0,7.4,E
Batman Begins,GBA,2005,Action,Electronic Arts,0.12,0.05,0.0,61.0,6.9,E10+
Mercury Meltdown Revolution,Wii,2007,Action,Ignition Entertainment,0.16,0.0,0.0,77.0,7.4,E
Glover,PS,1999,Platform,Atari,0.09,0.06,0.0,72.0,7.5,
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004,Misc,,0.12,0.05,0.0,72.0,7.5,
Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,0.16,0.0,0.0,72.0,5.2,E10+
Let's TAP,Wii,2008,Misc,Sega,0.08,0.06,0.01,70.0,6.6,E
James Cameron's Dark Angel,PS2,2007,Action,Universal Interactive,0.08,0.07,0.0,48.0,6.5,T
Mahjong Fight Club,PSP,2004,Misc,Konami Digital Entertainment,0.0,0.0,0.17,72.0,7.5,
Turok 3: Shadow of Oblivion,N64,2000,Shooter,Acclaim Entertainment,0.12,0.05,0.0,72.0,7.5,
Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,0.05,0.01,0.11,72.0,7.5,
World Driver Championship,N64,1999,Racing,Midway Games,0.14,0.03,0.0,72.0,7.5,
The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.1,0.04,0.0,58.0,6.0,T
Spawn: Armageddon,XB,2003,Action,Electronic Arts,0.13,0.04,0.0,57.0,9.2,M
